timestamp,symbol,direction,amount,price,status,pnl,trade_id
2023-01-02T10:00:00,GBP/USD,buy,151.21698516393417,1.322602747192587,executed,,BT-1
2023-01-03T12:00:00,USD/CAD,buy,129.905255419229,1.5396097053382622,executed,,BT-2
2023-01-04T07:00:00,EUR/USD,buy,168.80810048082117,1.1846032223049756,executed,,BT-3
2023-01-04T17:00:00,EUR/USD,buy,168.19320620196655,1.1890466351373372,executed,,BT-4
2023-01-07T00:00:00,USD/JPY,buy,99.73521333454698,2.004415842855573,executed,,BT-5
2023-01-09T00:00:00,USD/CAD,buy,131.72929482065075,1.517346538198362,executed,,BT-6
2023-01-10T15:00:00,USD/JPY,sell,100.52917306086245,1.9883501750877828,executed,,BT-7
2023-01-12T08:00:00,GBP/USD,buy,148.82863374461303,1.3430216745173378,executed,,BT-8
2023-01-14T15:00:00,GBP/USD,sell,146.38117654659587,1.3655229727412639,executed,,BT-9
2023-01-15T04:00:00,AUD/USD,buy,109.23253577161161,1.829669145202059,executed,,BT-10
2023-01-16T01:00:00,GBP/USD,buy,144.6292230582129,1.3818780563176842,executed,,BT-11
2023-01-17T15:00:00,AUD/USD,buy,110.66022981702588,1.8060576790868283,executed,,BT-12
2023-01-18T12:00:00,GBP/USD,buy,142.2077291253086,1.4052138932638076,executed,,BT-13
2023-01-21T04:00:00,USD/JPY,sell,100.16787591588268,1.9949857814805203,executed,,BT-14
2023-01-21T07:00:00,EUR/USD,buy,178.16964250905335,1.1215410755684079,executed,,BT-15
2023-01-24T11:00:00,AUD/USD,sell,113.26897654036428,1.7641683219924824,executed,,BT-16
2023-01-25T23:00:00,USD/JPY,sell,100.83637137684232,1.9811265594693093,executed,,BT-17
2023-01-26T09:00:00,AUD/USD,buy,111.62546474043937,1.7897141560981964,executed,,BT-18
2023-01-27T06:00:00,AUD/USD,buy,111.46248746168648,1.792468832416794,executed,,BT-19
2023-01-27T15:00:00,USD/CAD,sell,126.52749676228915,1.579111353008853,executed,,BT-20
2023-01-28T04:00:00,GBP/USD,sell,140.45109354542188,1.4225742805078188,executed,,BT-21
2023-01-29T07:00:00,USD/JPY,sell,101.4104965950205,1.9702490239676893,executed,,BT-22
2023-01-29T18:00:00,GBP/USD,sell,136.9291400505799,1.4593455460859979,executed,,BT-23
